name,ra,dec,pm_ra,pm_dec,parallax,spect_type,lii,bii,_class,dist
HIP 100029,304.41460755,38.93405125,-5.08,-15.64,2.09,G5III,76.55910293,1.84554656,STAR G5III,478.468899521531
HIP 10003,32.2031486,-3.20568528,-3.96,-8.14,-0.93,K5,163.97993885,-59.76097879,STAR K5,-1075.2688172043
HIP 100030,304.41777434,-45.22875238,-15.51,-25.29,2.47,K0III,354.81951603,-33.64391566,STAR K0III,404.858299595142
HIP 100031,304.42722907,-8.86118808,20.66,0.65,3.07,G5,34.70997103,-23.17220766,STAR G5,325.732899022801
HIP 100032,304.43079323,7.90091783,-5.43,-16.3,1.52,K5,50.31649467,-15.15470709,STAR K5,657.894736842105
HIP 100033,304.43187189,-39.11274924,-4.14,-14.46,7.52,Me,2.05995086,-32.7895315,STAR M0e,132.978723404255
HIP 100034,304.43254383,19.24794767,16.51,-19.86,8.91,F8,60.15591053,-9.12720665,STAR F8,112.233445566779
HIP 100035,304.43265946,-51.91684951,0.74,-38.45,16.24,F5IV,346.7812639,-34.10801638,STAR F5IV,61.576354679803
HIP 100036,304.4350023,-45.95720145,92.61,-90.81,6.3,K1III,353.95016046,-33.73063954,STAR K1III,158.730158730159
HIP 100037,304.43518532,40.50686577,10.83,0.77,4.44,G5,77.87186364,2.71354133,STAR G5,225.225225225225
HIP 100038,304.43527433,-25.96933653,-2.8,-18.14,0.7,K1III,16.98013115,-29.59737182,STAR K1III,1428.57142857143
HIP 100039,304.4377389,71.76279816,9.42,23.46,5.86,A3,104.971329,19.30800967,STAR A3,170.648464163823
HIP 10004,32.20475843,-35.82308086,63.8,35.18,4.26,K1IIICN...,245.57319666,-71.39922053,STAR K1III,234.741784037559
HIP 100040,304.43951779,46.43606854,-73.91,19.89,11.61,G5,82.8107467,6.01673989,STAR G5,86.1326442721792
HIP 100041,304.44115666,32.13529389,18.38,11.68,3.72,K0,70.94197938,-1.98633301,STAR K0,268.817204301075
HIP 100042,304.44152396,-33.97504158,5.87,-47.27,10.39,G1V,8.01299841,-31.75563504,STAR G1V,96.2463907603465
HIP 100043,304.4426113,71.14445567,-27.32,-17.9,7.11,F8,104.39860896,19.00856064,STAR F8,140.646976090014
HIP 100044,304.44668519,38.0329471,-3.53,-6.88,0.52,B2pe,75.8268114,1.31944673,STAR B2,1923.07692307692
HIP 100045,304.45684902,-40.18478474,41.69,11.81,17.25,F7/G0 +F8/G2,0.80558981,-32.98999977,STAR F7,57.9710144927536
