name,pm_ra,pm_dec,parallax,spect_type,lii,bii,vmag,bv_color,vi_color,vi_color_reduct,_class,dist
HIP 2453,  297.68,  -72.65,  23.95,F8,121.17321898,6.98280154, 7.37, 0.504,0.58,0.63,STAR F8,41.7536534446764
HIP 83477,  -28.60,   67.46,  11.33,F5,100.98312251,34.5564111, 7.90, 0.481,0.55,0.55,STAR F5,88.261253309797
HIP 46977,  -63.90,   77.59,  30.89,G4III-IV,142.54891675,38.93065829, 4.54, 0.781,0.83,0.83,STAR G4III,32.3729362253156
HIP 29402,  -18.49,   84.75,  13.35,G5,144.4121549,22.03852032, 9.80, 0.750,0.79,0.77,STAR G5,74.9063670411985
HIP 53257, -397.51,  -67.48,  23.02,G9IV,136.56466709,44.02133945, 5.91, 1.010,0.99,0.98,STAR G9IV,43.4404865334492
HIP 114099,  216.98,   44.12,  21.20,,114.0804887,8.82380799,10.71, 1.027,1,0.77,UNIDENTIFIED,47.1698113207547
HIP 5273,  332.81, -168.29,  21.01,K5,124.31459216,7.05055751,10.58, 1.009,1.05,1.05,STAR K5,47.5963826749167
HIP 38918, -183.52,  -24.15,  11.67,,145.5536561,31.04039867,10.05, 0.800,0.84,0.83,UNIDENTIFIED,85.6898029134533
HIP 63071,  -15.88,  -25.04,  12.66,G5,122.4334111,47.23696588, 8.90, 0.853,0.87,0.9,STAR G5,78.9889415481833
HIP 111314,  128.63,   71.24,  13.11,A9III,111.50443519,10.17439132, 6.01, 0.334,0.39,0.37,STAR A9III,76.27765064836
HIP 95044,   70.14,  221.43,  20.55,K0,101.21977358,22.94437949, 9.42, 0.906,0.95,1.1,STAR K0,48.661800486618
HIP 96344, -105.31, -220.27,  12.43,G8,101.66498987,21.73154658, 9.79, 0.600,0.67,0.67,STAR G8,80.450522928399
HIP 49649,   10.25,   19.04,  12.03,F0,140.29303979,41.25005475, 7.99, 0.422,0.49,0.49,STAR F0,83.1255195344971
HIP 115604,  196.92,  -31.34,  11.53,G0,115.60851931,8.31537419, 9.23, 0.658,0.72,0.7,STAR G0,86.7302688638335
HIP 47620, -670.68, -268.66,  85.14,M3,141.85916985,39.42121847,10.56, 1.463,1.86,1.86,STAR M3,11.7453605825699
HIP 47650, -668.70, -263.78,  86.69,M4,141.83650748,39.4385679,11.19, 1.488,2,2,STAR M4,11.5353558657285
HIP 48691,   -4.14,   23.34,  18.34,G5,141.03026925,40.34920398, 8.46, 0.717,0.77,0.75,STAR G5,54.525627044711
HIP 57693,  -72.08,   -1.57,  12.61,G0,130.44560801,46.17651653, 9.37, 0.608,0.68,0.64,STAR G0,79.3021411578113
HIP 99855,   14.36,   -2.78,  10.40,F8,103.29660419,18.64858482, 9.05, 0.623,0.69,0.69,STAR F8,96.1538461538462
HIP 89911,   36.50,   -1.79,  15.07,G0,100.44493832,27.97508501, 7.78, 0.521,0.59,0.59,STAR G0,66.35700066357
