name,ra,dec,pm_ra,pm_dec,parallax,spect_type,_class,dist
HIP 20297,65.24179812,-81.58022679,9.07,126.08,18.61,F0/F2III,STAR F2III,53.73
HIP 55035,168.99392164,-81.57024457,33.05,47.2,5.36,K1III,STAR K1III,186.57
HIP 98531,300.25075305,-81.56826463,6.75,-26.76,4.76,A0V,STAR A0V,210.08
HIP 49326,151.03070622,-81.56562097,-50.13,52.97,5.78,G6/G8III,STAR G6III,173.01
HIP 53700,164.80788715,-81.55632816,-148.92,67.6,10.72,F7IV,STAR F7IV,93.28
HIP 11039,35.53129812,-81.55085323,0.44,-2.18,2.4,M3III,STAR M3III,416.67
HIP 114281,347.20161372,-81.54341466,-6.63,2.74,2.89,G8/K0III,STAR G8III,346.02
HIP 24256,78.10705724,-81.54185362,16.25,50.07,5.29,K1III,STAR K1III,189.04
HIP 69422,213.21672231,-81.54180018,-21.39,-27.25,4.47,K0III,STAR K0III,223.71
HIP 5964,19.17819849,-81.54089529,12.77,1.83,0.86,G8III,STAR G8III,"1,162.79"
HIP 95344,290.95552027,-81.54026123,-213.84,-154.42,11.59,G2/G3V,STAR G2V,86.28
HIP 78677,240.92469549,-81.53826217,-0.94,-17.92,5.93,F0V,STAR F0V,168.63
HIP 96128,293.17878716,-81.53039616,56.96,-52.19,7.86,F5V,STAR F5V,127.23
HIP 101697,309.19738665,-81.53013629,-25.19,-2.57,6.2,K1III,STAR K1III,161.29
HIP 78179,239.44512642,-81.52505218,-11.88,-19.9,1.38,M2/M3III:,STAR M2III,724.64
HIP 21945,70.75298977,-81.50433824,-2.01,-36.89,4.17,K2III,STAR K2III,239.81
HIP 34132,106.15876929,-81.49971261,-10.15,21.4,4.53,A2V,STAR A2V,220.75
HIP 9052,29.15634973,-81.49928857,66.95,22.11,13.66,F3IV/V,STAR F3IV,73.21
HIP 62060,190.79934259,-81.4979384,-0.58,3.81,0.59,K1/K2III:,STAR K1III,"1,694.92"
HIP 11957,38.56520088,-81.4966468,21.91,12.29,4.54,F5V,STAR F5V,220.26
HIP 88599,271.36143072,-81.48644851,28.45,-49.29,3.53,K3/K4III,STAR K3III,283.29
HIP 12271,39.49905116,-81.46744393,15.11,22.44,2.43,K0III,STAR K0III,411.52
HIP 71883,220.54058972,-81.46213259,-6.68,-3.93,2.62,K3III:,STAR K3III,381.68
HIP 31772,99.66572247,-81.45903051,0.81,62.25,4.33,F6V,STAR F6V,230.95
HIP 87968,269.5390257,-81.45312267,-7.95,-118.19,14.32,F5IV/V,STAR F5IV,69.83
HIP 70610,216.64925795,-81.45276725,-42.12,-224,27.57,K2/K3V:,STAR K2V,36.27
HIP 55110,169.26068349,-81.45250141,-20.63,10.29,2.95,B5,STAR B5,338.98
HIP 83344,255.50431243,-81.43466924,-31.88,-33.36,6.36,K2III,STAR K2III,157.23
HIP 56256,172.96922088,-81.42918048,-11.62,1.62,4.67,A4m...,STAR A4,214.13
HIP 89009,272.4967105,-81.41741466,-39.11,-4.38,7.72,G8IV,STAR G8IV,129.53
HIP 94304,287.92480749,-81.41292339,19.4,35.91,9.72,F0/F2V,STAR F2V,102.88
HIP 104098,316.34798243,-81.3968231,-8.05,8.54,2.34,K0III,STAR K0III,427.35
HIP 28125,89.17691068,-81.38724543,-7.65,342.58,16.97,K,STAR K0,58.93
HIP 95335,290.932377,-81.3821661,-2.27,-27.2,3.68,G8/K0III,STAR G8III,271.74
HIP 112405,341.51551393,-81.38161731,-55.35,0.88,23.23,A9IV/V,STAR A9IV,43.05
HIP 114859,348.98088423,-81.37284402,504.34,116.72,45.21,M,STAR M0,22.12
HIP 8499,27.399381,-81.35902083,57.61,-25.05,3.62,K0III,STAR K0III,276.24
HIP 98086,299.00675249,-81.34983861,20.03,-0.71,4.7,K3/K4III,STAR K3III,212.77
HIP 58104,178.75195674,-81.34882878,-5.03,29.99,4.57,K2/K3III,STAR K2III,218.82
HIP 367,1.15561443,-81.34531911,1.33,0.45,1.38,A2/A3IV,STAR A2IV,724.64
HIP 106846,324.61444989,-81.34107083,-103.48,-328.47,6.22,G0V,STAR G0V,160.77
HIP 104796,318.45639684,-81.33835817,16.2,3.97,7.74,F5V,STAR F5V,129.20
HIP 63483,195.11362833,-81.3341205,-76.42,-8.86,10.05,F6V,STAR F6V,99.50
HIP 83924,257.29292785,-81.3231133,-4.74,-13.85,2.52,B9.5V,STAR B9V,396.83
HIP 65302,200.75610475,-81.30975325,-360.19,-148.86,29.33,G5V,STAR G5V,34.09
HIP 76030,232.92790863,-81.30307418,-24.43,-28.07,5.58,F0IV/V,STAR F0IV,179.21
HIP 96675,294.81424112,-81.30258412,18.62,-46.93,3.16,G0,STAR G0,316.46
HIP 101843,309.5775207,-81.28897011,0.6,-38.24,5.13,K5III,STAR K5III,194.93
HIP 92358,282.34730084,-81.27076402,-9.77,30.06,11.75,F6V,STAR F6V,85.11
HIP 21101,67.81763222,-81.26585925,27.3,28.06,2.74,K3/K4III,STAR K3III,364.96
HIP 15803,50.90253585,-81.25951257,147.16,174.6,21.26,,UNIDENTIFIED,47.04
HIP 96425,294.06247837,-81.24739364,95.16,107.51,22.2,G8IV/V,STAR G8IV,45.05
HIP 107693,327.22870789,-81.23517438,30.67,15.61,6.55,F7V,STAR F7V,152.67
HIP 35056,108.74080581,-81.22306821,-21.42,32.75,6.3,A2IV/Vm...,STAR A2IV,158.73
HIP 38220,117.44780226,-81.20480684,6.61,27.59,3.62,K2/K3III,STAR K2III,276.24
HIP 73226,224.48688334,-81.20418748,-6.73,-23.39,6.54,F8V,STAR F8V,152.91
HIP 59722,183.71827349,-81.1941305,8.73,-10.09,5.65,A4/A5III,STAR A4III,176.99
HIP 58032,178.53097972,-81.19070937,-44.17,-0.45,3.67,F0IV/V,STAR F0IV,272.48
HIP 89337,273.42341838,-81.17971986,-126.56,-259.86,12.63,,UNIDENTIFIED,79.18
HIP 2986,9.49072736,-81.1774348,-29.02,-10.17,4.84,F0IV,STAR F0IV,206.61
HIP 84601,259.40415377,-81.17663024,0,-15.13,4.07,A0Vn,STAR A0V,245.70
HIP 102742,312.2783758,-81.17014611,72.75,16.51,6.27,G6V,STAR G6V,159.49
HIP 44949,137.3214252,-81.16336976,-8.48,-50.46,-6.97,,UNIDENTIFIED,-143.47
HIP 51632,158.21994186,-81.16289326,-20.43,-4.75,3.97,Ap SrEuCr,STAR A0,251.89
HIP 80507,246.51910033,-81.16066338,0.49,-10.65,2.66,B8/B9V,STAR B8V,375.94
HIP 12221,39.34251561,-81.15212776,6.24,11.91,-0.07,A0V,STAR A0V,"-14,285.71"
HIP 63794,196.12172469,-81.15010262,-11.88,-6.24,5.75,K0III,STAR K0III,173.91
HIP 89788,274.85662876,-81.14580674,33.99,-51.35,8.23,G0V,STAR G0V,121.51
HIP 43092,131.65037969,-81.1232712,-4.04,1.64,3.7,K0III,STAR K0III,270.27
HIP 46133,141.11749013,-81.11563433,-10.7,19.85,3.92,K0III,STAR K0III,255.10
HIP 113346,344.3228,-81.10945333,30.78,-7.01,5.46,F3IV/V,STAR F3IV,183.15
HIP 13999,45.05606244,-81.08863262,74.5,61.5,8.38,F0V,STAR F0V,119.33
HIP 83576,256.21106525,-81.08624062,-2.34,-5.97,2.65,G3/G5II,STAR G3II,377.36
HIP 24542,78.98097235,-81.07225775,63.8,77.27,17.65,G8/K0V:,STAR G8V,56.66
HIP 86012,263.67887296,-81.06835526,12.24,4.82,7.85,A9V,STAR A9V,127.39
HIP 32564,101.91660208,-81.0658363,4.27,73.24,4.36,K3III,STAR K3III,229.36
HIP 28993,91.77168069,-81.06325241,2.45,32.95,6.18,A9IV,STAR A9IV,161.81
HIP 48027,146.85101297,-81.06143872,13.61,39.79,2.92,M2III,STAR M2III,342.47
HIP 51284,157.13077681,-81.05594511,-53.32,36.87,4.59,K0III,STAR K0III,217.86
HIP 25079,80.53923796,-81.03897303,-18.31,15.5,3.89,A4m...,STAR A4,257.07
HIP 8701,27.99004932,-81.01945276,84.12,16.95,32.38,K1V,STAR K1V,30.88
HIP 6281,20.14186903,-81.01682003,-31.22,39.02,12.96,G3V,STAR G3V,77.16
HIP 69896,214.55821047,-81.00760147,-19.95,-65.39,23.36,A2m...,STAR A2,42.81
HIP 58095,178.72118553,-81.006974,-18,0.81,3.48,B9.5V,STAR B9V,287.36
HIP 14565,47.00728911,-80.99836632,-20.99,-53.56,9.12,F6V,STAR F6V,109.65
HIP 19561,62.8478767,-80.99577156,20.12,70.23,4.3,K2III,STAR K2III,232.56
HIP 110158,334.6958774,-80.97962732,9.8,-4.61,6.02,Fm...,STAR F0,166.11
HIP 108260,328.9839134,-80.97238787,-15.11,-16.84,3.4,F0V,STAR F0V,294.12
HIP 101427,308.3233866,-80.96482633,8.35,-14.88,6.19,G6/G8II,STAR G6II,161.55
HIP 24718,79.52304258,-80.9646908,-49.8,47.59,14.06,G2V,STAR G2V,71.12
HIP 11342,36.48130981,-80.94597576,-14.2,-13.18,4.91,F2IV/V,STAR F2IV,203.67
HIP 46928,143.47293825,-80.94129374,-34.61,14.67,6.05,B5V,STAR B5V,165.29
HIP 112092,340.56407618,-80.9386831,-7.79,-0.24,2.98,K2III,STAR K2III,335.57
HIP 52969,162.50241553,-80.93353484,-36.88,19.72,2.9,Ap...,STAR A0,344.83
HIP 81120,248.51914791,-80.92919695,12.64,27.55,8.24,F6IV,STAR F6IV,121.36
HIP 98771,300.91078408,-80.92638708,-6.75,2.91,4.8,G0/G1,STAR G1,208.33
HIP 50379,154.30265805,-80.92320099,-21.75,17.15,5.3,G8III/IV,STAR G8IV,188.68
HIP 42221,129.12315252,-80.91841807,-120.93,-53.91,9.58,G3V,STAR G3V,104.38
HIP 41191,126.08492509,-80.91471955,-151.92,213.07,12.93,G8III,STAR G8III,77.34
HIP 114550,348.05179488,-80.91267194,26.97,-11.45,5.6,K4III,STAR K4III,178.57
HIP 77219,236.49316924,-80.89242935,19.04,1.57,6.51,F2V,STAR F2V,153.61
HIP 18970,60.97183771,-80.89023181,18.53,64.05,3.11,K3III,STAR K3III,321.54
HIP 102087,310.34034102,-80.88304864,67.67,-153.29,9.73,G3V,STAR G3V,102.77
HIP 105720,321.19450103,-80.87143212,45.32,28.73,4.06,G3V,STAR G3V,246.31
HIP 6657,21.35297792,-80.87039449,27.11,-0.79,2.56,K2III,STAR K2III,390.63
HIP 16910,54.39996501,-80.86047243,19.32,1.94,3.68,A8V,STAR A8V,271.74
HIP 85760,262.8644714,-80.85902834,-2.27,-43.34,4.02,M3III,STAR M3III,248.76
HIP 16899,54.35037779,-80.85426531,31.35,-3.72,2.9,G8/K0III,STAR G8III,344.83
HIP 99559,303.06869117,-80.85331642,-6.89,13.03,9.46,F5V,STAR F5V,105.71
HIP 26194,83.74885204,-80.85240259,1.63,-49.99,5.35,K1III,STAR K1III,186.92
HIP 33308,103.92651297,-80.83805082,38.12,26.47,4.62,K3III,STAR K3III,216.45
HIP 53643,164.60913515,-80.8341891,-8.34,0.45,0.77,B4II,STAR B4II,"1,298.70"
HIP 116145,352.99012003,-80.82789516,2.16,22.16,6.38,K0IIICN...,STAR K0III,156.74
HIP 36187,111.78657449,-80.82392682,64.14,-36.38,13.16,G2V,STAR G2V,75.99
HIP 31897,100.01211946,-80.81372235,-5.08,53.37,8.07,A5III,STAR A5III,123.92
HIP 23435,75.56595346,-80.81141153,0.9,15.36,2.07,G8III,STAR G8III,483.09
HIP 79786,244.24528906,-80.80021315,-14.68,-15.46,4.87,K0III,STAR K0III,205.34
HIP 82005,251.2828571,-80.79974583,-2.12,-15.9,3.13,A0V,STAR A0V,319.49
HIP 53651,164.65186516,-80.78966573,-149.27,62.49,13.88,F8/G0V,STAR F8V,72.05
HIP 46107,141.04053926,-80.78720514,-138.55,135.39,17.69,F3/F5IV,STAR F3IV,56.53
HIP 72915,223.52990846,-80.78670717,19.39,-2.39,5.76,F0V,STAR F0V,173.61
HIP 59798,183.9364276,-80.7846822,-22.52,-3.56,2.8,B9.5V,STAR B9V,357.14
HIP 22295,72.02084167,-80.77933778,47.95,40.56,16.55,F7V,STAR F7V,60.42
HIP 69055,212.01850305,-80.7640229,-22.35,1.6,8.42,A7V,STAR A7V,118.76
HIP 78250,239.64857852,-80.75558461,-15.92,-41.27,3.1,K2III,STAR K2III,322.58
HIP 80200,245.59257241,-80.74580319,-43.85,-8.15,11.3,F5IV/V,STAR F5IV,88.50
HIP 71598,219.6456999,-80.73622534,-28.31,-4,0.97,K1III,STAR K1III,"1,030.93"
HIP 19188,61.68554271,-80.73554137,-27.77,-236.53,14.08,G2V,STAR G2V,71.02
HIP 92928,283.99994877,-80.72786473,9.19,-8.32,3.94,A0V,STAR A0V,253.81
HIP 101037,307.24759499,-80.71729816,29.47,-23,6.98,F3/F5V,STAR F3V,143.27
HIP 16190,52.14129214,-80.70905563,-34.84,19.17,5.95,K1III,STAR K1III,168.07
HIP 4357,13.95921275,-80.70889391,-8.43,-21.77,6.07,F8V,STAR F8V,164.74
HIP 40949,125.35918309,-80.70752426,-23.1,29.55,4.09,A0V,STAR A0V,244.50
HIP 62590,192.38356711,-80.70234413,7.93,-2.53,5.46,A4IV,STAR A4IV,183.15
HIP 104206,316.6824847,-80.69775189,59.44,-140.79,11.79,F0/F2IV,STAR F2IV,84.82
HIP 111153,337.78808786,-80.69594918,16.41,-29.19,16.56,G3V,STAR G3V,60.39
HIP 105876,321.64716107,-80.6825155,-29.54,15.52,8.93,G0V,STAR G0V,111.98
HIP 13985,45.02942545,-80.6811963,45.23,-18.25,4.53,G8IV/V,STAR G8IV,220.75
HIP 85301,261.46746355,-80.66287993,-116.52,-169.67,6.77,G0,STAR G0,147.71
HIP 86626,265.50129855,-80.66210192,-52.02,-38.45,4.53,K0/K1III:,STAR K1III,220.75
HIP 3131,9.9485278,-80.65618639,69.98,20.36,5.26,G2IV/V,STAR G2IV,190.11
HIP 49859,152.72230278,-80.6555272,-59.12,-19.26,9.11,F5IV/V,STAR F5IV,109.77
HIP 97291,296.59278092,-80.64275969,55.47,-93.89,5.23,G5V,STAR G5V,191.20
HIP 22101,71.35932317,-80.64137133,18.44,52.77,8.58,F5IV/V,STAR F5IV,116.55
HIP 88538,271.18962541,-80.62895331,26.61,-15.79,5.73,G1V,STAR G1V,174.52
HIP 103520,314.58482946,-80.61994769,-16.55,22.79,6.87,K0III/IV,STAR K0IV,145.56
HIP 99075,301.70922618,-80.60007059,33.21,-33.88,3.92,K0III,STAR K0III,255.10
HIP 28440,90.08073895,-80.59808765,34.99,-3.96,3.84,F5V,STAR F5V,260.42
HIP 30936,97.39536778,-80.59266432,-16.66,22.03,5.23,A3V,STAR A3V,191.20
HIP 40034,122.66494176,-80.58603828,-14.02,7.92,1.79,K4/K5III:,STAR K4III,558.66
HIP 10389,33.45789956,-80.58284171,22.72,18.24,5.97,F5V,STAR F5V,167.50
HIP 78806,241.32602933,-80.57940916,4.84,-5.48,1.82,K1III:,STAR K1III,549.45
HIP 66817,205.43954893,-80.57616136,73.6,66.4,9,G3V,STAR G3V,111.11
HIP 8119,26.08997995,-80.57421453,190,49.58,14.23,K0,STAR K0,70.27
HIP 93889,286.78601386,-80.55248053,-48.76,10.14,14.35,G5V,STAR G5V,69.69
HIP 116861,355.3087739,-80.5495288,-12.62,14.28,4.75,F2IV(m),STAR F2IV,210.53
HIP 101241,307.82104141,-80.54400947,21.66,-41.98,7.06,F2II/III,STAR F2III,141.64
HIP 85970,263.55415195,-80.54040926,-0.06,-44.73,10.26,G2IV,STAR G2IV,97.47
HIP 52633,161.44639899,-80.54020283,-37.33,6.19,8.97,B2.5IV,STAR B2IV,111.48
HIP 30887,97.25305819,-80.53878899,2.41,22.11,4.75,F0/F2IV,STAR F2IV,210.53
HIP 10504,33.85025834,-80.5348606,19.72,8.6,3.78,A2m...,STAR A2,264.55
HIP 9400,30.19770613,-80.53236809,-67.3,-141.86,24.32,K1V,STAR K1V,41.12
HIP 46120,141.08440714,-80.52558901,202.13,1237.24,16.46,G0,STAR G0,60.75
HIP 51713,158.48564965,-80.51690626,7.34,58.27,11.96,F3V,STAR F3V,83.61
HIP 47815,146.20844793,-80.51296218,-11.25,-1.31,5.74,,UNIDENTIFIED,174.22
