name,ra,dec,pm_ra,pm_dec,parallax,spect_type,_class,dist
HIP 53151,163.1194501,-79.55944198,-11.29,2.09,1.94,K2II/III,STAR K2III,515.46
HIP 107833,327.68521859,-79.54641214,12.47,-31.21,0.9,K3III:,STAR K3III,"1,111.11"
HIP 79904,244.64501903,-79.54210825,0.74,-3.73,1.23,K1/K2III,STAR K1III,813.01
HIP 9711,31.23284511,-79.53800785,54.3,-139.8,27.6,,UNIDENTIFIED,36.23
HIP 20144,64.77648938,-79.52097701,-11.56,15.3,10.09,A7III/IV,STAR A7IV,99.11
HIP 52069,159.60685526,-79.51006911,-50.21,29.49,7.31,A8V,STAR A8V,136.80
HIP 23547,75.95509223,-79.50714737,92.04,174.15,10.72,G5,STAR G5,93.28
HIP 43012,131.48014451,-79.50457035,-26.11,81.26,5.83,K5III,STAR K5III,171.53
HIP 55984,172.10936546,-79.50359066,-16.63,-4.31,2.03,G5,STAR G5,492.61
HIP 6056,19.43876702,-79.4956124,52.31,28.68,6.86,G2V,STAR G2V,145.77
HIP 94255,287.79115387,-79.49012639,29.08,23,5.8,K0III,STAR K0III,172.41
HIP 114258,347.09809853,-79.4805999,92.62,-36.52,13.44,A7Vn,STAR A7V,74.40
HIP 71139,218.23473109,-79.48021344,-16.1,-6.6,1.99,K3III:,STAR K3III,502.51
HIP 69992,214.82427834,-79.4780869,25.91,17.23,10.57,G1V,STAR G1V,94.61
HIP 86703,265.7394933,-79.47786982,0.58,5.52,1.16,M0III:,STAR M0III,862.07
HIP 115129,349.785614,-79.47243616,27.68,10.95,6.66,K0III,STAR K0III,150.15
HIP 83466,255.88985718,-79.46994023,-7.94,-34.21,2.89,A2m...,STAR A2,346.02
HIP 13819,44.47217489,-79.46833428,31.64,29.03,1.24,K5,STAR K5,806.45
HIP 60287,185.43673634,-79.46657665,-16.35,-9.8,6.95,A1V,STAR A1V,143.88
HIP 62287,191.46964773,-79.4622476,-82.03,-12.24,8.82,F7V,STAR F7V,113.38
HIP 21519,69.31385916,-79.45933952,15.26,37.28,4.55,G8/K0p...,STAR G8,219.78
HIP 44296,135.32577742,-79.45617867,-11.83,15.01,2.31,A0Vn,STAR A0V,432.90
HIP 106881,324.73396995,-79.44251799,70.81,-26.91,16.64,F4IV,STAR F4IV,60.10
HIP 114991,349.35028989,-79.43358373,27.71,15.53,6.37,A8IV,STAR A8IV,156.99
HIP 34554,107.37722557,-79.4320183,-3.58,15.64,2.6,A0IV,STAR A0IV,384.62
HIP 99013,301.5198221,-79.42319769,26.52,-32.03,7.76,A7IV/V,STAR A7IV,128.87
HIP 37231,114.71101126,-79.42141964,3.25,-20.6,5.56,F5IV,STAR F5IV,179.86
HIP 33384,104.14366809,-79.42018913,-1.54,-1.61,9.17,B9.5V,STAR B9V,109.05
HIP 77761,238.16865895,-79.40381546,-6.19,-14.84,5.25,B8V,STAR B8V,190.48
HIP 100913,306.90410381,-79.39334508,0.36,-39.48,2.61,K2III,STAR K2III,383.14
HIP 14900,48.06747256,-79.38909565,17.81,23.39,2.28,K3III,STAR K3III,438.60
HIP 63639,195.64844357,-79.36516158,-31.57,-16.14,9.27,F5V,STAR F5V,107.87
HIP 27566,87.56999717,-79.36152292,-4.5,65.95,12.06,B9.5V,STAR B9V,82.92
HIP 55156,169.38788138,-79.35997497,-60.63,26.51,9.72,G3IV/V,STAR G3IV,102.88
HIP 58285,179.30689866,-79.35873732,-39.61,-9.87,15.06,F5,STAR F5,66.40
HIP 45071,137.70196417,-79.35863568,-14.16,11.12,3.52,A1V,STAR A1V,284.09
HIP 22404,72.31997104,-79.35614739,-8.66,8.09,3.92,K2III,STAR K2III,255.10
HIP 15824,50.97353902,-79.35563071,54.8,123.25,4.94,,UNIDENTIFIED,202.43
HIP 68712,211.00188939,-79.35529879,-4.24,20.29,6.05,F7V,STAR F7V,165.29
HIP 109878,333.81913948,-79.35288097,16.31,-11.36,3.89,K2III,STAR K2III,257.07
HIP 19433,62.4296367,-79.34374835,-7.08,4.11,3.33,G5,STAR G5,300.30
HIP 45419,138.82409878,-79.33240847,15.6,-11.17,2.57,K3III,STAR K3III,389.11
HIP 40415,123.75740291,-79.31875496,-16.19,33.36,6.14,A0V,STAR A0V,162.87
HIP 1790,5.69099076,-79.31283728,21.49,-5.87,1.44,F0V,STAR F0V,694.44
HIP 60000,184.58726633,-79.31226899,-38.07,12,12.05,B5Vn,STAR B5V,82.99
HIP 7696,24.7685448,-79.30960207,-26.23,27.46,8.8,G0V,STAR G0V,113.64
HIP 27086,86.14852655,-79.30762178,2.51,26.61,2.34,,UNIDENTIFIED,427.35
HIP 57137,175.72721843,-79.30636263,127.49,-10.97,17.95,K0III/IV,STAR K0IV,55.71
HIP 75692,231.94622912,-79.30621173,-17.03,30.71,11.46,K1III,STAR K1III,87.26
HIP 110282,335.07796536,-79.29479781,-0.96,-1.85,3.18,A3V,STAR A3V,314.47
HIP 108615,330.04737102,-79.29193684,18.07,-17.85,6.86,G3V,STAR G3V,145.77
HIP 64621,198.66901595,-79.29127736,-110.72,-55.46,11.88,G0V,STAR G0V,84.18
HIP 87327,267.65684608,-79.29061572,12.35,-36.7,8.34,F7V,STAR F7V,119.90
HIP 104453,317.38904449,-79.27385567,-35.48,31.99,16.72,F7V,STAR F7V,59.81
HIP 90421,276.73990408,-79.26936306,-5.89,-32.52,3.45,K1III,STAR K1III,289.86
HIP 55085,169.17262951,-79.26465467,-8.2,3.26,1.67,M2,STAR M2,598.80
HIP 78900,241.59608466,-79.25821964,2.34,-12.99,5.12,F5IV,STAR F5IV,195.31
HIP 446,1.3422976,-79.25391278,23.81,66.32,5.05,K0III,STAR K0III,198.02
HIP 69020,211.94565434,-79.25148841,-39.64,-12.55,3.84,K0III,STAR K0III,260.42
HIP 56728,174.45548842,-79.24213369,-30.98,8.51,1.38,K2III,STAR K2III,724.64
HIP 5162,16.51843812,-79.23608522,4,0.56,0.13,M1III:,STAR M1III,"7,692.31"
HIP 1425,4.45528702,-79.23233724,-12.06,-21.64,6.42,F8V,STAR F8V,155.76
HIP 92097,281.55312983,-79.22587235,-45.15,-8.49,6.86,F3V,STAR F3V,145.77
HIP 28461,90.14169154,-79.22074947,-5.69,2.36,3.59,K3III,STAR K3III,278.55
HIP 93496,285.61148556,-79.21525875,-16.93,-19.1,8.71,F5IV,STAR F5IV,114.81
HIP 42054,128.57975105,-79.21321367,-9.54,25.47,3.05,K2/K3III:,STAR K2III,327.87
HIP 6518,20.92486898,-79.21187983,-15.66,-35.38,5.02,F5V,STAR F5V,199.20
HIP 96118,293.14913128,-79.19441144,-23.73,107.94,11.41,G5V,STAR G5V,87.64
HIP 64612,198.65017101,-79.19350564,-1.66,-10.09,4.15,K1III:,STAR K1III,240.96
HIP 70094,215.15169804,-79.18876257,18.22,-12.36,5.35,F5/F6V,STAR F5V,186.92
HIP 4210,13.42767922,-79.17178746,10.51,0.36,-0.22,K2,STAR K2,"-4,545.45"
HIP 35671,110.40104696,-79.16470248,-42.54,111.67,3.72,K2III,STAR K2III,268.82
HIP 117675,357.97433028,-79.16198918,11,8.17,1.15,K1:p...,STAR K1,869.57
HIP 39173,120.18352459,-79.15763025,2.32,19.14,3.63,G8III,STAR G8III,275.48
HIP 7879,25.33868782,-79.14825374,59.76,22.13,8.26,G6/G8III,STAR G6III,121.07
HIP 74663,228.86579043,-79.13642926,-27.33,-34.11,6.99,K1II/III+..,STAR K1III,143.06
HIP 93139,284.60053557,-79.13262641,0.19,-5.83,0.83,M0III:,STAR M0III,"1,204.82"
HIP 50984,156.2223531,-79.12865527,-8.53,2.84,1.07,K4/K5,STAR K4,934.58
HIP 72233,221.5825875,-79.11993302,4.45,1.24,2.98,K5III,STAR K5III,335.57
HIP 99379,302.56456075,-79.11062492,-39.56,36.1,5.43,G8III,STAR G8III,184.16
HIP 11757,37.91716991,-79.10924959,137.14,-54.42,11.18,G4III,STAR G4III,89.45
HIP 16815,54.10429036,-79.09864272,-14.42,-24.38,6.38,K0/K1III,STAR K1III,156.74
HIP 36638,113.01818738,-79.09620906,-5.11,3.42,1.76,M1III,STAR M1III,568.18
HIP 36039,111.40911866,-79.09420265,-29.88,5.95,6.99,K2/K3III,STAR K2III,143.06
HIP 102428,311.33627384,-79.0900818,8.57,-23.4,0.95,M3III:,STAR M3III,"1,052.63"
HIP 76378,233.98909294,-79.08602275,-5.14,-6.28,2.36,Ap...,STAR A0,423.73
HIP 32840,102.68511343,-79.08380033,-29.08,59,7.67,K1/K2IV,STAR K1IV,130.38
HIP 2925,9.27537311,-79.08226868,17.6,-0.14,2.01,F0V,STAR F0V,497.51
HIP 66069,203.17320559,-79.07490314,-9.11,-1.24,2.25,K2II,STAR K2II,444.44
HIP 46148,141.16944596,-79.07467836,-23.17,20.73,5.21,B9.5V,STAR B9V,191.94
HIP 100303,305.14931623,-79.07111486,3.7,-73.28,10.02,F7V,STAR F7V,99.80
HIP 42794,130.80128686,-79.0701501,-30.83,28.12,10.23,A7V,STAR A7V,97.75
HIP 30170,95.22447875,-79.06680087,-26.13,33.74,8.68,K0III,STAR K0III,115.21
HIP 84369,258.72919674,-79.06657432,10.52,-57.2,3.76,Fp,STAR F0,265.96
HIP 84941,260.39580528,-79.06507201,8.38,11.84,5.21,A7III,STAR A7III,191.94
HIP 67405,207.21358503,-79.06460034,-13.08,-5.78,1.35,A0/A1V,STAR A1V,740.74
HIP 49416,151.30787682,-79.062396,-79.43,64.81,6.93,A4III/IV,STAR A4IV,144.30
