name,ra,dec,pm_ra,pm_dec,parallax,spect_type,lii,bii,dist
HIP 45731,139.8467674,62.05561928, -287.77, -382.55,  30.75,M:,152.57877722,40.82396093,32.520325203252
HIP 99500,302.89476753,62.07834754,  137.31,   80.09,  20.54,F5V,95.82775494,15.07744248,48.6854917234664
HIP 80781,247.41590648,62.08703343,   35.62,   -8.08,  13.89,K2,93.01033783,40.13109011,71.9942404607631
HIP 82750,253.69329418,62.10006641, -332.33,  -55.15,  25.00,G5IV,92.02588152,37.29638037,40
HIP 103096,313.33245263,62.15627228,    1.08, -774.24, 141.95,M2V,98.71396503,11.09217665,7.04473406128919
HIP 58,0.17376341,62.17600484,  -46.95,  -43.90,  26.06,G0,117.04868387,-0.11472483,38.3729854182655
HIP 60652,186.47277723,62.18209941, -327.48,   83.31,  22.65,K0,128.08463467,54.68983087,44.1501103752759
HIP 102988,312.99393109,62.18783991,   71.76,  115.13,  14.67,,98.63901422,11.23557209,68.1663258350375
HIP 29944,94.56388596,62.19289676,    5.65,  -23.29,  12.73,,152.37173749,20.08577647,78.5545954438335
HIP 29947,94.56673069,62.1977068,   -1.18,  -11.32,  12.71,B9,152.36742571,20.08869175,78.6782061369001
HIP 83500,255.98690618,62.20703306,   -9.70,  111.03,  17.48,F8,91.89518062,36.22486034,57.20823798627
HIP 11505,37.08541823,62.2188978,  171.64,   46.90,  17.83,G1V,133.961507,1.44040132,56.0852495793606
HIP 32889,102.79317137,62.22974996,  -26.90,  -89.56,  14.68,G0,153.53547611,23.7649217,68.1198910081744
HIP 27188,86.44959614,62.23868581,  297.76, -785.27,  73.04,M0,150.72946405,16.64169676,13.6911281489595
HIP 20334,65.34561394,62.2459947,   26.13, -123.44,  12.52,G5,144.87406862,8.69337994,79.8722044728435
HIP 75678,231.91979975,62.27574362,   34.23,  -25.49,  12.01,A5IV,97.736198,46.47953125,83.2639467110741
HIP 72669,222.86905954,62.2833431,  -45.73,   48.45,  12.65,G5,101.87592194,49.65015392,79.0513833992095
HIP 4872,15.65812055,62.34482783,  730.10,   89.27,  99.44,K5V...,124.23054828,-0.4986907,10.0563153660499
HIP 56933,175.07816571,62.3965986, -110.17,  -31.12,  11.98,F5,136.47372172,52.82154002,83.4724540901503
HIP 93053,284.32223249,62.39687223,    5.86,  -40.72,  10.70,G5IV comp,92.67659693,23.17596587,93.4579439252336
HIP 59937,184.40974905,62.42537851, -167.76,  101.02,  19.47,K0,129.61952367,54.26183056,51.3610683102209
HIP 101578,308.79442309,62.46851071,  141.02,  138.45,  12.00,K0,97.68207954,12.96922272,83.3333333333333
HIP 11254,36.21593958,62.47579373,   26.11,   54.58,  10.61,G4III,133.49248025,1.53522601,94.2507068803016
HIP 24009,77.41758336,62.47983135,  -16.20,  -50.39,  11.81,A5,148.30494582,13.16325381,84.6740050804403
HIP 45797,140.0675129,62.49933508,   60.46,  -72.11,  11.73,F8,151.98205791,40.76605556,85.2514919011083
HIP 105372,320.14326051,62.52704974,   17.87,    1.94,  11.08,F5IV,101.11788055,8.9660317,90.2527075812274
HIP 56181,172.73537474,62.54410137, -152.61, -307.59,  31.00,G5,137.92418904,52.17765304,32.258064516129
HIP 49277,150.87729545,62.56611982,  -94.09, -115.64,  11.87,K0,148.86500411,45.1950033,84.24599831508
HIP 68287,209.68470359,62.57543718, -122.88,  145.90,  10.38,,110.17707446,52.85434775,96.3391136801542
